crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Tomato,Clay Soil,Seedling Stage,9,20,87.3,0
Chilli,Clay Soil,Flowering,85,27,69.8,1
Potato,Clay Soil,Vegetative Growth / Root or Tuber Development,28,36,56.0,1
Chilli,Chalky Soil,Flowering,52,30,73.3,0
Wheat,Sandy Soil,Flowering,76,23,63.1,0
Potato,Loam Soil,Vegetative Growth / Root or Tuber Development,22,32,28.9,1
Tomato,Loam Soil,Germination,44,35,59.6,0
Potato,Red Soil,Pollination,20,31,67.2,0
Tomato,Black Soil,Flowering,70,42,29.4,0
Chilli,Clay Soil,Germination,12,15,90.8,0
Potato,Sandy Soil,Flowering,96,34,26.0,1
Wheat,Clay Soil,Pollination,85,18,83.0,0
Wheat,Loam Soil,Vegetative Growth / Root or Tuber Development,54,43,26.1,1
Chilli,Clay Soil,Maturation,51,33,49.9,1
Chilli,Alluvial Soil,Vegetative Growth / Root or Tuber Development,97,39,41.8,1
Chilli,Sandy Soil,Harvest,31,44,28.2,0
Chilli,Sandy Soil,Flowering,14,20,90.7,0
Tomato,Sandy Soil,Fruit/Grain/Bulb Formation,7,22,91.0,0
Wheat,Black Soil,Germination,12,30,84.7,0
Tomato,Sandy Soil,Seedling Stage,94,35,55.3,1
Wheat,Sandy Soil,Harvest,25,15,85.7,0
Wheat,Clay Soil,Flowering,39,40,60.0,1
Chilli,Clay Soil,Flowering,88,36,24.1,1
Chilli,Loam Soil,Flowering,60,18,90.8,1
Carrot,Chalky Soil,Flowering,38,32,85.8,0
Potato,Red Soil,Germination,67,16,90.9,1
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,54,17,85.9,0
Wheat,Black Soil,Seedling Stage,4,27,64.2,1
Wheat,Red Soil,Flowering,71,39,33.9,0
Wheat,Sandy Soil,Pollination,28,20,82.2,0
Tomato,Clay Soil,Pollination,76,45,16.4,0
Potato,Clay Soil,Germination,22,31,67.4,1
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,95,23,67.9,0
Wheat,Sandy Soil,Germination,40,29,72.8,0
Wheat,Black Soil,Maturation,67,36,32.9,1
Tomato,Sandy Soil,Pollination,11,37,44.5,1
Tomato,Alluvial Soil,Seedling Stage,36,19,85.4,0
Wheat,Sandy Soil,Flowering,30,41,33.7,1
Tomato,Loam Soil,Flowering,12,16,90.2,1
Wheat,Sandy Soil,Maturation,62,23,85.0,0
Wheat,Black Soil,Flowering,39,40,47.5,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,65,15,90.2,0
Potato,Red Soil,Flowering,72,22,73.9,0
Chilli,Clay Soil,Vegetative Growth / Root or Tuber Development,47,20,84.8,1
Potato,Clay Soil,Vegetative Growth / Root or Tuber Development,41,24,75.6,1
Chilli,Alluvial Soil,Seedling Stage,5,18,89.4,0
Wheat,Clay Soil,Flowering,74,31,86.3,0
Carrot,Sandy Soil,Pollination,66,30,44.3,1
Carrot,Red Soil,Germination,38,39,35.9,1
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,39,42,34.4,0
Wheat,Black Soil,Fruit/Grain/Bulb Formation,80,40,68.0,0
Chilli,Clay Soil,Germination,62,21,87.4,1
Wheat,Sandy Soil,Pollination,34,19,85.3,0
Chilli,Clay Soil,Flowering,11,25,35.0,0
Wheat,Red Soil,Pollination,76,20,83.5,0
Potato,Clay Soil,Pollination,32,28,76.8,1
Wheat,Red Soil,Pollination,24,28,66.2,0
Potato,Red Soil,Vegetative Growth / Root or Tuber Development,100,33,71.7,0
Tomato,Alluvial Soil,Seedling Stage,54,21,89.6,1
Potato,Red Soil,Seedling Stage,23,33,26.3,1
Wheat,Black Soil,Flowering,48,33,31.3,0
Wheat,Red Soil,Germination,3,26,74.6,1
Wheat,Sandy Soil,Pollination,3,18,90.9,0
Potato,Clay Soil,Germination,10,24,66.7,0
Potato,Red Soil,Flowering,47,15,91.0,0
